date,symbol,factor,prev_close_reported,close_previous_day
2025-11-05,APTUS,1.023434,301.35,294.45
2026-01-26,APTUS,1.020986,265.15,259.7
2026-02-02,APTUS,0.973856,268.2,275.4
2026-03-03,APTUS,1.023962,244.0,238.29
2026-03-26,APTUS,0.966514,200.31,207.25
2026-04-03,APTUS,1.021462,203.7,199.42
2026-03-03,AQYLON,1.052581,1201.1,1141.1
2026-03-26,AQYLON,1.051693,59.0,56.1
2026-03-31,AQYLON,1.051282,53.3,50.7
2026-04-03,AQYLON,1.052436,48.17,45.77
2026-04-14,AQYLON,1.050697,47.46,45.17
2026-06-26,AQYLON,1.052592,41.63,39.55
2025-12-25,ARABIAN,0.968179,71.5,73.85
2026-03-03,ARABIAN,1.054167,75.9,72.0
2026-03-26,ARABIAN,0.960508,68.1,70.9
2026-03-31,ARABIAN,1.033607,69.2,66.95
2026-04-14,ARABIAN,1.028169,73.0,71.0
2026-01-26,ARCHIDPLY,0.970111,83.09,85.65
2026-03-26,ARCHIDPLY,0.97862,68.2,69.69
2026-03-31,ARCHIDPLY,1.070181,68.01,63.55
2026-04-14,ARCHIDPLY,0.973322,77.71,79.84
2026-05-28,ARCHIDPLY,1.024643,83.16,81.16
2026-03-03,ARCHIES,1.07619,15.82,14.7
2026-03-26,ARCHIES,0.973134,13.04,13.4
2026-03-31,ARCHIES,1.054152,11.68,11.08
2026-04-03,ARCHIES,0.87373,12.04,13.78
2026-04-14,ARCHIES,1.046122,14.97,14.31
2025-12-25,ARCIIL,1.026535,67.7,65.95
2026-01-26,ARCIIL,1.032258,64.0,62.0
2026-02-03,ARCIIL,1.035714,58.0,56.0
2026-03-03,ARCIIL,1.076433,50.7,47.1
2026-03-31,ARCIIL,1.074264,41.95,39.05
2026-04-14,ARCIIL,0.961501,49.95,51.95
2026-05-01,ARCIIL,1.024275,75.95,74.15
2026-06-26,ARCIIL,1.0225,40.9,40.0
2025-11-05,ARE&M,1.020301,1010.2,990.1
2026-01-26,ARE&M,1.028212,854.65,831.2
2026-03-03,ARE&M,1.024865,844.95,824.45
2026-03-31,ARE&M,1.043498,701.7,672.45
2025-10-22,ARENTERP,1.025127,46.51,45.37
2025-12-25,ARENTERP,0.967495,46.73,48.3
2026-01-15,ARENTERP,1.040571,46.68,44.86
2026-02-02,ARENTERP,1.04251,41.2,39.52
2026-03-31,ARENTERP,1.157659,36.2,31.27
2026-04-03,ARENTERP,0.940486,33.66,35.79
2026-05-28,ARENTERP,1.047534,40.99,39.13
2026-06-26,ARENTERP,1.036848,38.55,37.18
2026-03-03,ARFIN,1.025164,71.7,69.94
2026-03-31,ARFIN,1.029745,75.47,73.29
2026-04-14,ARFIN,0.949878,89.26,93.97
2026-06-26,ARFIN,1.036967,93.13,89.81
2026-01-26,ARHAM,1.023675,144.85,141.5
2026-02-02,ARHAM,1.044956,142.95,136.8
2026-03-03,ARHAM,1.067057,136.85,128.25
2026-03-26,ARHAM,1.02315,123.75,120.95
